term,description,active,related_terms,don’t,comment,part_of_speech,changed_on,changed_by,location,translatable,case_sensitive,de-CH,comment_de-CH,don’t_de-CH,fr-CH,comment_fr-CH,don’t_fr-CH,it-CH,comment_it-CH,don’t_it-CH,en-GB,SME,Fiduciary,type,technical_term_contacts,technical_term_addresses,technical_term_subscription_and_checkout
account,Only in the accounting section. Otherwise always use accounting account,TRUE,"account classification
account group
account ledger
accounting account
accounting record
accounts
chart of accounts
expense
complete
asset
liability
income
parent group
system account
system account group
balance sheet
income statement",,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Konto,,,compte,,,conto,,,account,,,,,,
account classification,"Used in the chart of accounts. Classifies accounting accounts into assets, income, liability, expense and complete (year-end closing)",TRUE,"account
accounting account
accounts
asset
chart of accounts
complete
expense
income statement
balance sheet
liability
system account
income",,,noun + noun,2025-10-02,Nicolas Scherrer,,TRUE,FALSE,Kontoart,,,type de compte,,,tipo di conto,,,account classification,,,,,,
account group,Accounting accounts live within account groups in the chart of accounts. They are used to structure the balance sheet and income statement,TRUE,"account
accounting account
accounts
balance sheet
chart of accounts
expense
income
income statement
liability
system account group
asset
complete
parent group",,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Kontengruppe,,,groupe de comptes,,,gruppo di conti,,,account group,,,,,,
account ledger,An instrument to see postings on one accounting account including credit and debit postings and the balance,TRUE,"account
accounting account
accounts
credit
debit
system account",,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Kontenblatt,,,feuille de compte,,,scheda di conto,,,account ledger,,,,,,
accountants directory,A directory on our website for our customers to find and choose accountants nearby,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Treuhänder-Verzeichnis,,,répertoire des fiduciaires,,,directory dei contabili,,,accountants directory,,,,,,
accounting account,"Use this word outside the accounting section. For example, in the chart of accounts in accounting or in the account ledger, always use account. When selecting an accounting account for invoices or bills, use this term",TRUE,"account
account classification
account group
account ledger
accounting record
accounts
chart of accounts
expense
complete
asset
liability
income
income statement
system account
system account group
balance sheet",,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Buchungskonto,,,compte de comptabilité,,,conto di registrazione,,,accounting account,,,,,,
accounting record,"Is a posting in the accounting. Usually contains a date, credit account, debit account, description, currency and an amount",TRUE,"account
accounting account
credit
debit",,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Buchungssatz,,,ecriture comptable,,,registrazione contabile,,,accounting record,,,,,,
accounts,Plural for account,TRUE,"account
account classification
account group
account ledger
accounting account",,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Konten,,,comptes,,,conti,,,accounts,,,,,,
active,VAT rates and accounting accounts can either be active or inactive,TRUE,,,,adjective,2025-05-13,Nicolas Scherrer,,TRUE,FALSE,aktiv,,,actif,,,attivo,,,active,,,,,,
additional address,"Can be added to a contact. Is a deviation from the main address for delivery addresses and so on. Contains name, street, house no., pc, city, address addition and company name addition",TRUE,,,,adjective + noun,2025-11-04,Nicolas Scherrer,,TRUE,FALSE,Zusatzadresse,,,adresse supplémentaire,,,indirizzo aggiuntivo,,,additional address,,,,,,
